city,year,ped_fatal,bike_fatal,fatal_total,city_population,metro_population,fatality_citation_1,fatality_citation_2,city_population_citation,metro_population_citation
Toronto,2009,31,1,32,2615060,6054191,http://torontoist.com/2014/01/torontos-bad-year-for-traffic-fatalities/,,https://en.wikipedia.org/wiki/Toronto,https://en.wikipedia.org/wiki/Greater_Toronto_Area
Toronto,2010,20,2,22,2615060,6054191,http://torontoist.com/2014/01/torontos-bad-year-for-traffic-fatalities/,,https://en.wikipedia.org/wiki/Toronto,https://en.wikipedia.org/wiki/Greater_Toronto_Area
Toronto,2011,18,2,20,2615060,6054191,http://torontoist.com/2014/01/torontos-bad-year-for-traffic-fatalities/,,https://en.wikipedia.org/wiki/Toronto,https://en.wikipedia.org/wiki/Greater_Toronto_Area
Toronto,2012,24,3,27,2615060,6054191,http://torontoist.com/2014/01/torontos-bad-year-for-traffic-fatalities/,,https://en.wikipedia.org/wiki/Toronto,https://en.wikipedia.org/wiki/Greater_Toronto_Area
Toronto,2013,40,4,44,2615060,6054191,http://torontoist.com/2014/01/torontos-bad-year-for-traffic-fatalities/,,https://en.wikipedia.org/wiki/Toronto,https://en.wikipedia.org/wiki/Greater_Toronto_Area
Toronto,2014,31,3,34,2615060,6054191,http://www.toronto.ca/legdocs/mmis/2015/hl/bgrd/backgroundfile-81600.pdf,http://www.postcity.com/Eat-Shop-Do/Do/July-2015/News-Focus-Rise-in-Toronto-bike-deaths-cause-for-concern/,https://en.wikipedia.org/wiki/Toronto,https://en.wikipedia.org/wiki/Greater_Toronto_Area
Toronto,2015,38,4,42,2615060,6054191,http://www.cbc.ca/news/canada/toronto/toronto-traffic-fatalities-1.3386126,,https://en.wikipedia.org/wiki/Toronto,https://en.wikipedia.org/wiki/Greater_Toronto_Area
Chicago,2011,36,7,43,2695598,9554598,http://www.redeyechicago.com/news/redeye-data-shows-chicago-pedestrian-fatalities-on-the-rise-20160224-story.html,http://www.redeyechicago.com/redeye-fatal-bike-crashes-chicago-20150111-story.html,https://en.wikipedia.org/wiki/Chicago,https://en.wikipedia.org/wiki/Chicago_metropolitan_area
Chicago,2012,47,8,55,2695598,9554598,http://www.redeyechicago.com/news/redeye-data-shows-chicago-pedestrian-fatalities-on-the-rise-20160224-story.html,http://www.redeyechicago.com/redeye-fatal-bike-crashes-chicago-20150111-story.html,https://en.wikipedia.org/wiki/Chicago,https://en.wikipedia.org/wiki/Chicago_metropolitan_area
Chicago,2013,21,3,24,2695598,9554598,http://www.redeyechicago.com/news/redeye-data-shows-chicago-pedestrian-fatalities-on-the-rise-20160224-story.html,http://www.redeyechicago.com/redeye-fatal-bike-crashes-chicago-20150111-story.html,https://en.wikipedia.org/wiki/Chicago,https://en.wikipedia.org/wiki/Chicago_metropolitan_area
Chicago,2014,35,7,42,2695598,9554598,http://www.redeyechicago.com/news/redeye-data-shows-chicago-pedestrian-fatalities-on-the-rise-20160224-story.html,http://www.redeyechicago.com/redeye-fatal-bike-crashes-chicago-20150111-story.html,https://en.wikipedia.org/wiki/Chicago,https://en.wikipedia.org/wiki/Chicago_metropolitan_area
Chicago,2015,46,7,53,2695598,9554598,http://www.redeyechicago.com/news/redeye-data-shows-chicago-pedestrian-fatalities-on-the-rise-20160224-story.html,http://chi.streetsblog.org/2016/01/08/driver-fatally-strikes-pedestrian-in-auburn-gresham-and-flees-the-scene/,https://en.wikipedia.org/wiki/Chicago,https://en.wikipedia.org/wiki/Chicago_metropolitan_area
Los Angeles,2009,72,5,77,4030904,18679763,https://services1.arcgis.com/tp9wqSVX1AitKgjd/ArcGIS/rest/services/roadsafegis_20092013/FeatureServer/0,,https://en.wikipedia.org/wiki/Los_Angeles,https://en.wikipedia.org/wiki/Greater_Los_Angeles_Area
Los Angeles,2010,88,11,99,4030904,18679763,https://services1.arcgis.com/tp9wqSVX1AitKgjd/ArcGIS/rest/services/roadsafegis_20092013/FeatureServer/0,,https://en.wikipedia.org/wiki/Los_Angeles,https://en.wikipedia.org/wiki/Greater_Los_Angeles_Area
Los Angeles,2011,78,7,85,4030904,18679763,https://services1.arcgis.com/tp9wqSVX1AitKgjd/ArcGIS/rest/services/roadsafegis_20092013/FeatureServer/0,,https://en.wikipedia.org/wiki/Los_Angeles,https://en.wikipedia.org/wiki/Greater_Los_Angeles_Area
Los Angeles,2012,89,10,99,4030904,18679763,https://services1.arcgis.com/tp9wqSVX1AitKgjd/ArcGIS/rest/services/roadsafegis_20092013/FeatureServer/0,,https://en.wikipedia.org/wiki/Los_Angeles,https://en.wikipedia.org/wiki/Greater_Los_Angeles_Area
Los Angeles,2013,87,17,104,4030904,18679763,https://services1.arcgis.com/tp9wqSVX1AitKgjd/ArcGIS/rest/services/roadsafegis_20092013/FeatureServer/0,,https://en.wikipedia.org/wiki/Los_Angeles,https://en.wikipedia.org/wiki/Greater_Los_Angeles_Area
Los Angeles,2014,77,13,90,4030904,18679763,http://www.ladot.lacity.org/sites/g/files/wph266/f/LACITYP_028769.pdf,estimated cyclist data as average of 2013 and 2015,https://en.wikipedia.org/wiki/Los_Angeles,https://en.wikipedia.org/wiki/Greater_Los_Angeles_Area
Los Angeles,2015,82,10,92,4030904,18679763,http://www.ladot.lacity.org/sites/g/files/wph266/f/LACITYP_032147.pdf,,https://en.wikipedia.org/wiki/Los_Angeles,https://en.wikipedia.org/wiki/Greater_Los_Angeles_Area
